 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,943,82.615,14.533,150.822,0.352,5.685,0.176,0.895
2,671,56.304,15.174,109.043,0.333,3.711,0.269,0.733
3,776,54.802,18.029,42.526,0.351,3.040,0.329,0.874
