 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,877,58.423,19.113,60.661,0.325,3.057,0.327,0.743
2,1007,81.295,15.772,178.630,0.392,5.155,0.194,0.931
3,614,43.403,18.012,61.283,0.121,2.410,0.415,0.523
4,660,61.015,13.773,76.940,0.396,4.430,0.226,0.820
5,821,42.789,24.430,82.922,0.332,1.752,0.571,0.765
