 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,1131,82.640,17.425,5.744,0.346,4.743,0.211,0.784
2,281,27.589,12.968,169.536,0.168,2.127,0.470,0.603
3,216,26.314,10.451,83.949,0.560,2.518,0.397,0.829
