ID,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity,Volume_px,ROI_accepted
c7-17-1_0002_sm_SEG_BINf_roi0,1005,71.907,17.795,155.55,0.42,4.041,0.247,0.79,14000,TRUE
c7-18-1_0011_rf_SEG_BINf_roi5,98.4817675,65.70898054,2.907245289,67.61833711,0.140369865,2.089754814,0.091161201,0.356237896,3955.023941,FALSE
