site,leaf,sampleID,locationID,isolateID,7week
P,36,P36,4-E3,P36-11i_4-E3,FALSE
P,36,P36,4-E4,P36-12i_4-E4,TRUE
P,36,P36,4-E5,P36-13i_4-E5,TRUE
P,36,P36,4-E6,P36-14i_4-E6,TRUE
P,36,P36,4-E7,P36-15i_4-E7,TRUE
P,36,P36,4-E8,P36-16i_4-E8,TRUE
P,27,P27,5-A1,P27-01i_5-A1,FALSE
P,27,P27,5-A2,P27-02i_5-A2,TRUE
P,27,P27,5-A3,P27-03i_5-A3,FALSE
P,27,P27,5-A4,P27-04i_5-A4,TRUE
P,27,P27,5-A5,P27-05i_5-A5,FALSE
P,27,P27,5-A6,P27-06i_5-A6,FALSE
P,27,P27,5-A7,P27-07i_5-A7,TRUE
P,27,P27,5-A8,P27-08i_5-A8,LOW
P,27,P27,5-B1,P27-09i_5-B1,FALSE
P,27,P27,5-B2,P27-10i_5-B2,TRUE
P,27,P27,5-B3,P27-11i_5-B3,FALSE
P,27,P27,5-B4,P27-12i_5-B4,FALSE
P,27,P27,5-B5,P27-13i_5-B5,LOW
P,27,P27,5-B6,P27-14i_5-B6,TRUE
P,27,P27,5-B7,P27-15i_5-B7,LOW
P,27,P27,5-B8,P27-16i_5-B8,FALSE
P,8,P8,5-D1,P08-01i_5-D1,TRUE
P,8,P8,5-D2,P08-02i_5-D2,FALSE
P,8,P8,5-D3,P08-03i_5-D3,LOW
P,8,P8,5-D4,P08-04i_5-D4,LOW
P,8,P8,5-D5,P08-05i_5-D5,TRUE
P,8,P8,5-D6,P08-06i_5-D6,TRUE
P,8,P8,5-D7,P08-07i_5-D7,TRUE
P,8,P8,5-D8,P08-08i_5-D8,LOW
P,8,P8,5-E1,P08-09i_5-E1,FALSE
P,8,P8,5-E2,P08-10i_5-E2,LOW
P,8,P8,5-E3,P08-11i_5-E3,LOW
P,8,P8,5-E4,P08-12i_5-E4,FALSE
P,8,P8,5-E5,P08-13i_5-E5,LOW
P,8,P8,5-E6,P08-14i_5-E6,LOW
P,8,P8,5-E7,P08-15i_5-E7,FALSE
P,8,P8,5-E8,P08-16i_5-E8,DRY
T,1,T1,6-A1,T01-01i_6-A1,CONTAM
T,1,T1,6-A2,T01-02i_6-A2,TRUE
T,1,T1,6-A3,T01-03i_6-A3,TRUE
T,1,T1,6-A4,T01-04i_6-A4,FALSE
T,1,T1,6-A5,T01-05i_6-A5,CONTAM
T,1,T1,6-A6,T01-06i_6-A6,TRUE
T,1,T1,6-A7,T01-07i_6-A7,TRUE
T,1,T1,6-A8,T01-08i_6-A8,CONTAM
T,1,T1,6-B1,T01-09i_6-B1,LOW
T,1,T1,6-B2,T01-10i_6-B2,TRUE
T,1,T1,6-B3,T01-11i_6-B3,CONTAM
T,1,T1,6-B4,T01-12i_6-B4,CONTAM
