"treatment","evolvedTemp","currentTemp","competition","species","repNum","y0","mumax","K"
"E25HR","25","25","FALSE","rotifer","1",2.27131660449682,0.516059397209893,61.7401749910632
"E30NR","30","25","FALSE","rotifer","1",1.52700419100293,0.575870392782019,59.9157808233143
"E25NR","25","30","FALSE","rotifer","1",0.0019832463783237,2.5691949360151,89.2655028879608
"E30HR","30","30","FALSE","rotifer","1",3.03216955586556,0.61543900160171,77.1888852338246
"E25HRP","25","25","TRUE","rotifer","1",2.13468509782662,0.434530311172368,50.1860721316036
"E30NRP","30","25","TRUE","rotifer","1",1.05567365209316,0.506802470272015,44.8819912619112
"E25NRP","25","30","TRUE","rotifer","1",1.32427426918619,0.685745276220278,58.6055451221704
"E30HRP","30","30","TRUE","rotifer","1",2.433527998946,0.453108905286483,49.2480403840469
"E25HR","25","25","FALSE","rotifer","2",0.267437597265916,0.880807333775081,59.995427273797
"E30NR","30","25","FALSE","rotifer","2",0.539079778436976,0.767115845829287,54.4311836734275
"E25NR","25","30","FALSE","rotifer","2",3.27972049027413,0.560873404060572,80.394606205027
"E30HR","30","30","FALSE","rotifer","2",1.0543693377348,0.848986048572428,60.6327254364665
"E25HRP","25","25","TRUE","rotifer","2",2.13459725367194,0.474321740613373,50.6800362739512
"E30NRP","30","25","TRUE","rotifer","2",0.193078872419769,0.760639404107403,39.3976066999852
"E25NRP","25","30","TRUE","rotifer","2",1.76809283164042,0.633259311219999,48.5444229681798
"E30HRP","30","30","TRUE","rotifer","2",0.991977098364236,0.679491160721913,42.195932610778
"E25HR","25","25","FALSE","rotifer","3",1.4579840684309,0.60847319074783,69.7915441451901
"E30NR","30","25","FALSE","rotifer","3",0.845593809883164,0.690741003601411,62.5182270129839
"E25NR","25","30","FALSE","rotifer","3",3.01653834725897,0.713718356775422,80.5531802078331
"E30HR","30","30","FALSE","rotifer","3",2.20963525485954,0.743530460274777,81.9546134593687
"E25HRP","25","25","TRUE","rotifer","3",2.58299755482603,0.496486365364307,43.9897051508287
"E30NRP","30","25","TRUE","rotifer","3",1.17311403540369,0.508235924295439,43.9718291689615
"E25NRP","25","30","TRUE","rotifer","3",3.49383291263394,0.378241638810856,35.4488338180358
"E30HRP","30","30","TRUE","rotifer","3",1.97501395190238,0.546483119066368,37.9846382909128
"E25HR","25","25","FALSE","rotifer","4",1.92873855510086,0.659194221781695,70.5336887534771
"E30NR","30","25","FALSE","rotifer","4",2.17979094081689,0.524411860536705,61.3239599866923
"E25NR","25","30","FALSE","rotifer","4",5.17715984275312,0.577987562745421,85.6006457996547
"E30HR","30","30","FALSE","rotifer","4",1.45500372929158,0.921152189438096,64.5947009679755
"E25HRP","25","25","TRUE","rotifer","4",0.555944623928727,0.812839856089666,53.2628279167367
"E30NRP","30","25","TRUE","rotifer","4",0.323090531205924,0.777009173919435,47.6975691055869
"E25NRP","25","30","TRUE","rotifer","4",1.2619723080389,0.902681091623194,55.7135226350654
"E30HRP","30","30","TRUE","rotifer","4",2.98917362660368,0.458341805407618,50.5359788440506
"E25HR","25","25","FALSE","rotifer","5",0.466965669673582,0.794431291111666,68.9151024126031
"E30NR","30","25","FALSE","rotifer","5",2.65522668950983,0.520360456252015,70.0053505018615
"E25NR","25","30","FALSE","rotifer","5",0.598888422580256,1.29106162684329,80.6828132104363
