"taxon","evolvedTemp","currentTemp","competition","replicate","y0","y0_se","r","r_se","alpha","alpha_se","pseudo_r2","converged","n_iter","n_obs","y0_at_bound","r_at_bound","alpha_at_bound"
"Rotifer","30","30","TRUE","4",3.00009045753603,NA,0.0190705468847836,NA,0.000377295687197778,NA,0.872838025409526,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","FALSE","5",3.00000038657098,NA,0.0211230272346825,NA,0.000298817367778064,NA,0.904544203916999,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","FALSE","5",3.0000031573251,NA,0.0207957713228899,NA,0.000295451841260975,NA,0.902161593455065,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","FALSE","5",3.0000006978149,NA,0.0363838585428955,NA,0.000442834649178109,NA,0.882809449446993,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","5",4.04266556829224,NA,0.0297335485638465,NA,0.000405021455182184,NA,0.94063552109342,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","25","TRUE","5",3.13939155341854,NA,0.0165647992207119,NA,0.000280991718042678,NA,0.898799994288441,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","25","TRUE","5",4.65713498611046,NA,0.0113866249667057,NA,0.000191768387055176,NA,0.895461488766957,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","30","TRUE","5",4.01659728092458,NA,0.0184362768579016,NA,0.000274745238294167,NA,0.922719134819777,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","30","TRUE","5",6.88362347179211,NA,0.0109698789097336,NA,0.000157282372920551,NA,0.951875274856088,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","25","FALSE","6",3.09482527116925,NA,0.015071425281616,NA,0.00018967909283334,NA,0.978873194480513,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","25","FALSE","6",3.00000058482359,NA,0.0157658740275051,NA,0.000233806200434374,NA,0.944413147792339,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","FALSE","6",3.00000039532611,NA,0.035072105728398,NA,0.000508213873420165,NA,0.967158163052193,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","6",3.00000021044406,NA,0.0314438176558897,NA,0.00043582249726178,NA,0.95920909104683,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","TRUE","6",3.00001137385477,NA,0.0186230190728018,NA,0.000376060748554775,NA,0.893399265289099,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","TRUE","6",3.00000016986113,NA,0.0130653605482975,NA,0.000318615314255194,NA,0.847255624744226,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","TRUE","6",3.43713757052564,NA,0.0211984177458345,NA,0.000360239691390708,NA,0.953748569779697,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","30","TRUE","6",3.00000051941249,NA,0.0214425662330387,NA,0.000564840466069288,NA,0.880432166928692,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","FALSE","7",3.00000049688207,NA,0.0184242932416829,NA,0.000273170531944655,NA,0.9498318396337,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","FALSE","7",3.0000004115773,NA,0.019792571683078,NA,0.000298164531137681,NA,0.926818009996737,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","FALSE","7",3.0000003669037,NA,0.0418401103189876,NA,0.000525980278471082,NA,0.810971992105154,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","7",3.29380546842028,NA,0.0332800572444667,NA,0.000517488827485225,NA,0.94496219154203,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","25","TRUE","7",3.0000002487166,NA,0.0195498315576544,NA,0.000368621122327623,NA,0.922276493909896,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","TRUE","7",3.58683547692686,NA,0.0116889417606923,NA,0.000198297144730022,NA,0.943259053576312,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","30","TRUE","7",5.91629651461929,NA,0.0125552550419211,NA,0.000172446172934503,NA,0.934347213041907,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","30","TRUE","7",4.79882092223643,NA,0.0142760166119513,NA,0.000298156334172065,NA,0.896750571168616,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","25","FALSE","8",3.00000104629451,NA,0.0212340500905837,NA,0.000405586429148883,NA,0.869335340865368,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","FALSE","8",3.0000004314364,NA,0.019804809688121,NA,0.000403600335042756,NA,0.849734271950558,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","FALSE","8",3.00000095874587,NA,0.0304877309744546,NA,0.00044666407913249,NA,0.78716232466344,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","8",3.00000053663308,NA,0.0266938196922226,NA,0.000457839600414992,NA,0.892653659208682,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","TRUE","8",3.00000018880798,NA,0.0195037163845893,NA,0.000448447482814457,NA,0.801004916599225,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","TRUE","8",3.00000031859057,NA,0.0207279953094969,NA,0.000629934102901956,NA,0.741534535982396,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","TRUE","8",3.00000042108519,NA,0.0244615272822487,NA,0.000537473491441558,NA,0.877615634746048,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","TRUE","8",3.84557410963711,NA,0.020166397219226,NA,0.000485780933402012,NA,0.858378373367158,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","25","FALSE","9",3.00000035869514,NA,0.0215774171090238,NA,0.000270343822364724,NA,0.970291925693672,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","FALSE","9",3.00000013796878,NA,0.0189029120826791,NA,0.000375757048365408,NA,0.8127476525118,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","FALSE","9",3.000000436407,NA,0.037657156241237,NA,0.000508858941243094,NA,0.893210518232881,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","9",3.00000053117917,NA,0.0306467245285857,NA,0.000404322291106549,NA,0.868848048604258,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","TRUE","9",3.00000032996956,NA,0.0209906536327833,NA,0.00050635394095704,NA,0.898406919150705,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","TRUE","9",3.00000131518639,NA,0.0136945277314128,NA,0.000276120856327763,NA,0.727268970972174,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","30","TRUE","9",3.00000069621149,NA,0.0238920507103246,NA,0.000392203226112286,NA,0.941056408960542,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","TRUE","9",3.00000280367417,NA,0.0231171519050086,NA,0.000620241351831539,NA,0.823156791742009,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","FALSE","10",3.00000034109271,NA,0.0205962590824692,NA,0.000344973640137884,NA,0.867762793542609,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","25","FALSE","10",3.00000013842853,NA,0.0186747790901919,NA,0.000281518019498193,NA,0.957475150443216,TRUE,NA,16,TRUE,TRUE,TRUE
