"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_se","alpha_se","pseudo_r2","converged","n_iter","n_obs","r_at_bound","alpha_at_bound","taxon"
"25","30","TRUE","7",8,0.0104551665382372,0.000135788896720258,NA,NA,0.928538550345117,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"25","30","TRUE","8",3,0.0244615377469329,0.000537473786823157,NA,NA,0.877615637124548,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"25","30","TRUE","9",10,0.0138406054692246,0.000215813916304031,NA,NA,0.859094660491171,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"25","30","TRUE","10",6,0.0195215443563694,0.000317409839348727,NA,NA,0.901305510642752,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","1",6,0.0145224678839715,0.00022861727262218,NA,NA,0.928587810355058,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","2",6,0.0149349513988452,0.000256332072912201,NA,NA,0.873297178279804,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","3",6,0.0148394649693462,0.00021857755897419,NA,NA,0.922304117075725,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","4",7,0.0137046552389756,0.000211224922705339,NA,NA,0.942181836953618,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","5",6,0.0156681461264038,0.000213460825207224,NA,NA,0.889787582151698,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","6",1,0.0225824905660316,0.000360103269402146,NA,NA,0.93742278371956,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","7",5,0.016372506946372,0.000242212651527635,NA,NA,0.908396705097826,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","8",3,0.0198049611618633,0.000403605208341807,NA,NA,0.849734277245757,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","9",8,0.0119516578037654,0.000229898867074564,NA,NA,0.718684393022557,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","FALSE","10",7,0.0131987574462419,0.000191233177450393,NA,NA,0.914901218587534,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","1",1,0.0214691337939163,0.000479677674770854,NA,NA,0.925606588216489,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","2",5,0.0120589510409045,0.000283946931775502,NA,NA,0.806278320455565,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","3",6,0.0110395633318636,0.000231575538109625,NA,NA,0.877513570986989,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","4",7,0.0114906740167464,0.000213412134764362,NA,NA,0.715505105037842,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","5",13,0.00620044844644456,0.000100001656129971,NA,NA,0.745597781614587,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","25","TRUE","6",5,0.00992432498112697,0.000229935305941266,NA,NA,0.804061391070437,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","25","TRUE","7",11,0.00631586654329943,0.00010000105075781,NA,NA,0.799484746029833,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","25","TRUE","8",4,0.0183664350546143,0.000556300502009713,NA,NA,0.721194548374138,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","25","TRUE","9",5,0.0104594504911222,0.000195494458158877,NA,NA,0.709971380445061,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","25","TRUE","10",5,0.00880714747299969,0.000154350006316146,NA,NA,0.931577517035602,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","30","FALSE","1",6,0.0198690819391973,0.000249964484933191,NA,NA,0.970590059968254,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","2",4,0.0235744702662212,0.000376061970238917,NA,NA,0.934668332521446,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","3",7,0.0206440096413714,0.000242103089779941,NA,NA,0.950357920168933,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","4",6,0.0250409022641934,0.000381662539123518,NA,NA,0.887389509361533,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","5",9,0.0199193212247047,0.000257410281226072,NA,NA,0.9281129942838,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","6",8,0.0213506348421754,0.000287068470225718,NA,NA,0.91987343878722,TRUE,NA,16,FALSE,TRUE,"Rotifer"
