"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_boot_se","r_boot_lo","r_boot_hi","alpha_boot_se","alpha_boot_lo","alpha_boot_hi","n_boot_success"
"25","25","FALSE","1",13,0.102059367714679,8.48926160728531e-05,0.0101313030608275,0.0831401576528832,0.12217841949688,1.52337067073979e-05,6.23649251313751e-05,0.000121441293226571,1000
"25","25","FALSE","2",15,0.0894024256465397,8.58107676201403e-05,0.0127237711995536,0.0668737197435894,0.117590148798725,2.14866732601072e-05,5.33907589361865e-05,0.000134684225278273,1000
"25","25","FALSE","3",12,0.0882026417121667,8.72650001216956e-05,0.00592752552025251,0.0762812263372984,0.0995262640978149,1.09855415505136e-05,6.9126644011431e-05,0.000113114764932328,1000
"25","25","FALSE","4",9,0.121986493689333,0.000134885370737939,0.0127181116404597,0.0994822939037041,0.147688764619735,2.35482827846283e-05,9.51483433939304e-05,0.000186936002777877,1000
"25","25","FALSE","5",13,0.145663496465347,0.000202559128381128,0.0156681248481043,0.118133302852022,0.174647160274933,3.10874746448084e-05,0.000148976885942885,0.000265764199657853,1000
"25","25","FALSE","6",9,0.12843880205126,0.000141542820677959,0.0122578849342404,0.101618850822768,0.147738185311998,2.27606344752011e-05,0.000101478219176783,0.000191673883814411,1000
"25","25","FALSE","7",17,0.08423333906346,0.000101790403024332,0.0123848848864253,0.0664719190938125,0.115884829604969,2.35380181844329e-05,6.42155600919733e-05,0.000157557435952704,1000
"25","25","FALSE","8",18,0.0919499826514719,0.000107590631219206,0.0120620178188515,0.0723658838371388,0.119497823843779,2.20735064029445e-05,7.40279234132493e-05,0.000157052982688034,1000
"25","25","FALSE","9",29,0.0834880098673219,8.63743844399881e-05,0.0129093993148576,0.0632785029874908,0.114922534163067,2.07447881816399e-05,5.69952438950617e-05,0.000136875977827197,1000
"25","25","FALSE","10",17,0.097831576569613,0.000128652341836514,0.0132918188791322,0.078115342266652,0.131735459992383,2.55180037670861e-05,8.39319366977145e-05,0.000187195151621912,1000
