image_name,area_px
30_9.MP4.00_00_56_05.Still013__det1__cls1__crop00580_Simple Segmentation.tiff,2580
30_9.MP4.00_01_02_24.Still014__det0__cls1__crop00581_Simple Segmentation.tiff,3164
30_9.MP4.00_01_18_13.Still017__det5__cls1__crop00584_Simple Segmentation.tiff,6300
30_9.MP4.00_01_21_03.Still018__det2__cls1__crop00585_Simple Segmentation.tiff,2489
30_9.MP4.00_01_24_22.Still019__det2__cls1__crop00587_Simple Segmentation.tiff,3047
30_9.MP4.00_01_27_04.Still020__det2__cls1__crop00590_Simple Segmentation.tiff,7329
30_9.MP4.00_01_27_04.Still020__det3__cls1__crop00591_Simple Segmentation.tiff,6411
30_9.MP4.00_01_48_18.Still024__det2__cls1__crop00594_Simple Segmentation.tiff,2902
30_9.MP4.00_02_10_02.Still026__det0__cls1__crop00596_Simple Segmentation.tiff,3579
30_9.MP4.00_02_16_23.Still028__det0__cls1__crop00598_Simple Segmentation.tiff,3073
30_9.MP4.00_02_16_23.Still028__det2__cls1__crop00599_Simple Segmentation.tiff,2910
