image_name,area_px
25_4.MP4.00_01_13_29.Still015__det0__cls1__crop00129_Simple Segmentation.tiff,3484
25_4.MP4.00_01_20_26.Still018__det0__cls1__crop00132_Simple Segmentation.tiff,3484
25_4.MP4.00_01_27_13.Still019__det4__cls1__crop00133_Simple Segmentation.tiff,3089
25_4.MP4.00_01_35_28.Still020__det0__cls1__crop00134_Simple Segmentation.tiff,3945
25_4.MP4.00_01_39_12.Still021__det0__cls1__crop00135_Simple Segmentation.tiff,4496
25_4.MP4.00_01_56_15.Still025__det3__cls1__crop00140_Simple Segmentation.tiff,4162
25_4.MP4.00_02_04_25.Still027__det0__cls1__crop00142_Simple Segmentation.tiff,4630
25_4.MP4.00_02_11_16.Still028__det0__cls1__crop00143_Simple Segmentation.tiff,4417
25_4.MP4.00_02_18_13.Still030__det0__cls1__crop00147_Simple Segmentation.tiff,5194
25_5.MP4.00_00_21_25.Still007__det0__cls1__crop00156_Simple Segmentation.tiff,4363
25_5.MP4.00_00_28_08.Still009__det2__cls1__crop00158_Simple Segmentation.tiff,5792
25_5.MP4.00_00_36_03.Still013__det0__cls1__crop00159_Simple Segmentation.tiff,5179
25_5.MP4.00_00_54_10.Still015__det1__cls1__crop00163_Simple Segmentation.tiff,4836
25_5.MP4.00_01_04_01.Still017__det1__cls1__crop00165_Simple Segmentation.tiff,3801
25_5.MP4.00_01_04_01.Still017__det2__cls1__crop00166_Simple Segmentation.tiff,3951
25_5.MP4.00_01_07_00.Still018__det0__cls1__crop00167_Simple Segmentation.tiff,2979
25_5.MP4.00_01_16_04.Still021__det0__cls1__crop00171_Simple Segmentation.tiff,5864
25_5.MP4.00_01_19_09.Still023__det0__cls1__crop00174_Simple Segmentation.tiff,3824
25_5.MP4.00_01_25_24.Still024__det0__cls1__crop00175_Simple Segmentation.tiff,5452
25_5.MP4.00_01_46_13.Still029__det0__cls1__crop00180_Simple Segmentation.tiff,4330
25_5.MP4.00_02_01_19.Still033__det0__cls1__crop00182_Simple Segmentation.tiff,6534
25_5.MP4.00_02_15_28.Still034__det1__cls1__crop00186_Simple Segmentation.tiff,5254
25_5.MP4.00_02_19_06.Still035__det0__cls1__crop00188_Simple Segmentation.tiff,4369
25_6.MP4.00_00_16_18.Still003__det0__cls1__crop00191_Simple Segmentation.tiff,4998
25_6.MP4.00_00_21_07.Still004__det0__cls1__crop00192_Simple Segmentation.tiff,4601
25_6.MP4.00_00_36_00.Still006__det0__cls1__crop00194_Simple Segmentation.tiff,4848
25_6.MP4.00_00_39_11.Still007__det0__cls1__crop00195_Simple Segmentation.tiff,4036
25_6.MP4.00_00_43_19.Still008__det0__cls1__crop00196_Simple Segmentation.tiff,3325
25_6.MP4.00_00_56_00.Still011__det1__cls1__crop00199_Simple Segmentation.tiff,6958
25_6.MP4.00_01_19_20.Still016__det0__cls1__crop00203_Simple Segmentation.tiff,5645
