Day,CloneID,Rep,Count,Contaminated
5,1.5,5,12,TRUE
5,1.5,6,15,TRUE
5,1.5,7,10,TRUE
5,1.5,8,5,TRUE
5,1.7,1,24,FALSE
5,1.7,2,25,FALSE
5,1.7,3,18,FALSE
5,1.7,4,11,FALSE
5,1.7,5,38,FALSE
5,1.7,6,27,FALSE
5,1.7,7,21,FALSE
5,1.7,8,22,TRUE
5,2.3,1,28,FALSE
5,2.3,2,25,FALSE
5,2.3,3,31,FALSE
5,2.3,4,39,FALSE
5,2.3,5,21,FALSE
5,2.3,6,24,TRUE
5,2.3,7,25,TRUE
5,2.3,8,27,TRUE
5,2.4,1,0,FALSE
5,2.4,2,0,FALSE
5,2.4,3,1,FALSE
5,2.4,4,2,FALSE
5,2.4,5,0,FALSE
5,2.4,6,1,FALSE
5,2.4,7,1,FALSE
5,2.4,8,0,FALSE
5,2.5,1,1,TRUE
5,2.5,2,3,TRUE
5,2.5,3,3,TRUE
5,2.5,4,10,TRUE
5,2.5,5,5,TRUE
5,2.5,6,7,TRUE
5,2.5,7,6,TRUE
5,2.5,8,2,TRUE
6,1.2,1,6,TRUE
6,1.2,2,6,TRUE
6,1.2,3,5,TRUE
6,1.2,4,4,TRUE
6,1.2,5,4,TRUE
6,1.2,6,5,TRUE
6,1.2,7,7,TRUE
6,1.2,8,3,TRUE
6,1.5,1,21,TRUE
6,1.5,2,7,TRUE
6,1.5,3,18,TRUE
6,1.5,4,14,TRUE
6,1.5,5,17,TRUE
6,1.5,6,13,TRUE
6,1.5,7,10,TRUE
6,1.5,8,12,FALSE
6,1.7,1,24,FALSE
6,1.7,2,46,FALSE
6,1.7,3,40,FALSE
6,1.7,4,23,FALSE
6,1.7,5,55,FALSE
6,1.7,6,47,TRUE
6,1.7,7,41,FALSE
6,1.7,8,49,TRUE
6,2.3,1,51,FALSE
6,2.3,2,57,FALSE
6,2.3,3,56,FALSE
6,2.3,4,63,FALSE
6,2.3,5,47,FALSE
6,2.3,6,40,TRUE
6,2.3,7,47,FALSE
6,2.3,8,58,FALSE
6,2.4,1,0,FALSE
6,2.4,2,2,FALSE
6,2.4,3,2,FALSE
6,2.4,4,0,FALSE
6,2.4,5,1,FALSE
6,2.4,6,0,FALSE
6,2.4,7,0,FALSE
6,2.4,8,1,TRUE
6,2.5,1,9,TRUE
6,2.5,2,12,TRUE
6,2.5,3,11,TRUE
6,2.5,4,41,TRUE
6,2.5,5,22,TRUE
6,2.5,6,30,TRUE
6,2.5,7,11,TRUE
6,2.5,8,22,TRUE
7,1.2,1,7,TRUE
7,1.2,2,6,TRUE
7,1.2,3,0,TRUE
7,1.2,4,2,TRUE
7,1.2,5,5,TRUE
7,1.2,6,7,TRUE
7,1.2,7,8,TRUE
7,1.2,8,9,TRUE
7,1.5,1,50,TRUE
7,1.5,2,31,TRUE
7,1.5,3,18,TRUE
7,1.5,4,16,TRUE
7,1.5,5,25,TRUE
7,1.5,6,42,TRUE
7,1.5,7,14,TRUE
7,1.5,8,26,TRUE
7,1.7,1,41,FALSE
7,1.7,2,55,FALSE
7,1.7,3,53,FALSE
7,1.7,4,58,FALSE
7,1.7,5,50,FALSE
7,1.7,6,65,TRUE
7,1.7,7,48,FALSE
7,1.7,8,61,TRUE
7,2.3,1,55,FALSE
7,2.3,2,32,FALSE
7,2.3,3,53,FALSE
7,2.3,4,44,FALSE
7,2.3,5,63,FALSE
7,2.3,6,49,TRUE
7,2.3,7,57,FALSE
