 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
2,1015,79.789,16.197,165.327,0.403,4.926,0.203,0.915
3,613,58.155,13.421,78.823,0.347,4.333,0.231,0.703
4,1262,110.555,14.534,112.656,0.265,7.606,0.131,0.857
