 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,486,50.447,12.266,24.765,0.223,4.113,0.243,0.658
2,864,57.597,19.100,98.178,0.463,3.016,0.332,0.827
3,960,101.131,12.086,71.040,0.198,8.367,0.120,0.810
