 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,1193,110.164,13.788,119.784,0.232,7.990,0.125,0.855
2,339,29.479,14.642,39.877,0.381,2.013,0.497,0.793
3,231,33.635,8.744,136.061,0.551,3.846,0.260,0.851
